price,location,bedrooms,toilet,garage,LT,LB
4099999999,"Kelapa Gading, Jakarta Utara",5.0,3.0,2.0,162.0,252.0
6400000000,"Pantai Indah Kapuk, Jakarta Utara",4.0,4.0,1.0,184.0,250.0
750000000,"Bekasi Utara, Bekasi",2.0,1.0,1.0,80.0,50.0
258000000,"Kalideres, Jakarta Barat",3.0,1.0,,40.0,40.0
490000000,"Sawangan, Depok",2.0,1.0,1.0,72.0,50.0
483000000,"Cibinong, Bogor",1.0,1.0,,161.0,197.0
3500000000,"Bintaro, Tangerang Selatan",4.0,3.0,2.0,120.0,140.0
281000000,"Koja, Jakarta Utara",5.0,2.0,,107.0,70.0
5300000000,"Penjaringan, Jakarta Utara",2.0,2.0,,10.0,100.0
86400000,"Periuk, Tangerang",2.0,1.0,,60.0,55.0
1410000000,"Alam Sutera, Tangerang",3.0,2.0,1.0,66.0,74.0
9000000000,"Lebak Bulus, Jakarta Selatan",3.0,3.0,2.0,440.0,310.0
7200000000,"Kemayoran, Jakarta Pusat",4.0,2.0,,607.0,150.0
7760000000,"Kemang, Jakarta Selatan",4.0,4.0,2.0,150.0,300.0
86200000,"Rajeg, Tangerang",2.0,1.0,,220.0,220.0
850000000,"Jatimakmur, Bekasi",2.0,1.0,1.0,88.0,60.0
1600000000,"Cibubur, Jakarta Timur",3.0,2.0,1.0,72.0,82.0
614000000,"Buah Batu, Bandung",1.0,,,90.0,106.0
2740000000,"Palmerah, Jakarta Barat",1.0,1.0,,176.0,103.0
2800000000,"Cileungsi, Bogor",3.0,3.0,1.0,120.0,140.0
3850000000,"Setiabudi, Bandung",3.0,1.0,1.0,300.0,300.0
16000000000,"Tanah Kusir, Jakarta Selatan",6.0,4.0,3.0,653.0,430.0
1700000000,"Tanah Baru, Depok",3.0,3.0,1.0,110.0,180.0
770000000,"Gianyar, Gianyar",2.0,1.0,1.0,100.0,36.0
385000000,"Parung Panjang, Bogor",1.0,1.0,1.0,60.0,27.0
18500000000,"Radio Dalam, Jakarta Selatan",,,,748.0,748.0
1300000000,"Kota Wisata, Jakarta Timur",2.0,2.0,1.0,60.0,54.0
4550000000,"Tomang, Jakarta Barat",8.0,5.0,2.0,315.0,500.0
4750000000,"Joglo, Jakarta Barat",7.0,4.0,2.0,2.0,177.0
1100000000,"Cikarang Selatan, Bekasi",3.0,3.0,1.0,64.0,72.0
1110000000,"Tarumajaya, Bekasi",3.0,2.0,,105.0,105.0
1600000000,"Taman Griya, Badung",3.0,3.0,1.0,85.0,100.0
930000000,"Garuda, Bandung",4.0,3.0,1.0,60.0,90.0
4350000000,"BSD De Park, Tangerang",3.0,3.0,1.0,210.0,153.0
420000000,"Tangerang, Tangerang",4.0,2.0,,60.0,100.0
1790000000,"Beji, Depok",3.0,3.0,,88.0,88.0
750000000,"Gunung Sindur, Bogor",2.0,1.0,,72.0,72.0
560000000,"Bogor Timur, Bogor",2.0,1.0,,60.0,42.0
720000000,"Batu Ceper, Tangerang",2.0,1.0,,60.0,35.0
990000000,"Jati Uwung, Tangerang",3.0,2.0,,72.0,69.0
990000000,"Jati Uwung, Tangerang",3.0,2.0,,72.0,69.0
450000000,"Cimanggis, Depok",2.0,1.0,,75.0,55.0
750000000,"Tanah Sareal, Bogor",2.0,1.0,,90.0,60.0
1440000000,"Sukmajaya, Depok",3.0,2.0,,94.0,58.0
730000000,"Cipayung, Depok",3.0,1.0,,71.0,52.0
1050000000,"Antapani, Bandung",2.0,1.0,1.0,96.0,70.0
1550000000,"Graha Raya, Tangerang Selatan",3.0,2.0,,75.0,150.0
2600000000,"Tanjung Duren Selatan, Jakarta Barat",4.0,4.0,1.0,117.0,200.0
850000000,"Arcamanik, Bandung",3.0,2.0,1.0,116.0,70.0
3000000000,"Tamalate, Makassar",4.0,4.0,2.0,160.0,190.0
1750000000,"Summarecon Serpong, Tangerang",2.0,2.0,1.0,2.0,2.0
2200000000,"BSD Puspita Loka, Tangerang",3.0,3.0,1.0,66.0,95.0
2390000000,"Taman Ratu, Jakarta Barat",4.0,3.0,1.0,3.0,138.0
2550000000,"Turangga, Bandung",4.0,3.0,2.0,2.0,2.0
7500000000,"Cideng, Jakarta Pusat",4.0,3.0,1.0,250.0,600.0
447000000,"Utan Kayu, Jakarta Timur",2.0,1.0,,21.0,41.0
3750000000,"Cireundeu, Tangerang",6.0,3.0,4.0,630.0,400.0
600000000,"Jombang, Tangerang",2.0,1.0,1.0,67.0,40.0
2400000000,"Samarinda Utara, Samarinda",5.0,3.0,2.0,126.0,123.0
2200000000,"BSD Green Wich, Tangerang",3.0,3.0,1.0,66.0,95.0
1020000000,"Poris, Tangerang",3.0,2.0,1.0,52.0,90.0
3300000000,"BSD Residence One, Tangerang",3.0,2.0,2.0,84.0,137.0
1980000000,"Bengkong, Batam",4.0,3.0,2.0,136.0,142.0
1500000000,"Batam Kota, Batam",4.0,3.0,2.0,96.0,111.0
2300000000,"Graha, Surabaya",3.0,3.0,2.0,90.0,132.0
850000000,"Kuta Alam, Banda Aceh",5.0,1.0,,212.0,100.0
1260000000,"Batam Centre, Batam",3.0,3.0,2.0,98.0,76.0
2440000000,"Singgasana, Bandung",3.0,2.0,1.0,128.0,123.0
3690000000,"Puri Media, Jakarta Barat",5.0,3.0,2.0,135.0,193.0
2100000000,"Duri Kosambi, Jakarta Barat",3.0,2.0,,160.0,100.0
7500000000,"Condet, Jakarta Timur",5.0,4.0,4.0,397.0,370.0
