"id","created_at","price","location","bedrooms","toilet","garage","lt","lb","listing_url","image_url","source"
"1","2025-11-20 08:45:52.905686+00","4200000000","Katulampa, Bogor","5","5","2.0","200.00","224.00","https://www.rumah123.com/properti/bogor-katulampa/rumah-mewah-2-lantai-di-exit-tol-bogor-selatan-view-pegunungan-hos40335526/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1241358/527e7e4712ba0bc8738d6b14f2377824.jpg","rumah123"
"2","2025-11-20 08:45:52.905686+00","450000000","Bogor Barat, Bogor","2","1","1.0","66.00","33.00","https://www.rumah123.com/properti/bogor-bogor-selatan/rumah-siap-huni-di-bogor-cuma-400-jtan-lengkap-fasilitas-hos40328315/","https://picture.rumah123.com/r123-images/720x420-crop/customer/893380/b61eb48080589cf0c018bc8ec4c9ecd6.jpg","rumah123"
"3","2025-11-20 08:45:52.905686+00","700000000","Sukaraja, Bogor","2","1","1.0","84.00","42.00","https://www.rumah123.com/properti/bogor-sukaraja/rumah-rapi-dan-cantik-hos40369870/","https://picture.rumah123.com/r123-images/720x420-crop/customer/762319/3a987507f558bf8adae28ef836765d1f.jpg","rumah123"
"4","2025-11-20 08:45:52.905686+00","310000000","Parung, Bogor","2","1",,"135.00","50.00","https://www.rumah123.com/properti/bogor-parung/rumah-lt-135-hadap-utara-15-menit-ke-rs-pena-98-dibantu-kpr-j36598-hos40274197/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1766297/8afecfd4d71b32ddb1d0e38a169bef55.jpg","rumah123"
"5","2025-11-20 08:45:52.905686+00","1830000000","Cilebut, Bogor","4","2",,"90.00","105.00","https://www.rumah123.com/properti/bogor-cilebut/rumah-7-menit-ke-rs-hermina-bogor-shm-2-lt-hadap-utara-j37382-hos40402019/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1648106/bfcf674ef58da662d1d311dc8414c5c1.jpg","rumah123"
"6","2025-11-20 08:45:52.905686+00","7000000000","Sentul City, Bogor","4","3","1.0","270.00","298.00","https://www.rumah123.com/properti/bogor-sentul-city/dijual-rumah-mewah-3-lantai-posisi-hoek-siap-huni-view-pegunungan-di-summarecon-bogor-hos40421888/","https://picture.rumah123.com/r123-images/720x420-crop/customer/797322/27b01991f644e3a7bd04729cae5a85e4.jpg","rumah123"
"7","2025-11-20 08:45:52.905686+00","9800000000","Sentul City, Bogor","5","5","2.0","858.00","400.00","https://www.rumah123.com/properti/bogor-sentul-city/rumah-mewah-3-lantai-dengan-rooftop-backyard-luas-sentul-city-hos40188144/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1656514/52c5674ae928b7957a4d6d89f3804296.jpg","rumah123"
"8","2025-11-20 08:45:52.905686+00","3700000000","Sentul City, Bogor","4","3","2.0","315.00","200.00","https://www.rumah123.com/properti/bogor-sentul-city/rumah-2lt-di-cluster-elite-sentul-city-lokasi-sangat-strategis-hos40533116/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1656514/f35a03f43ab278a38a8cad484e9a376c.jpg","rumah123"
"9","2025-11-20 08:45:52.905686+00","2400000000","Kota Wisata, Bogor","3","3",,"144.00","150.00","https://www.rumah123.com/properti/bogor-kota-wisata/hunian-nyaman-dekat-sekolahan-sudah-rapih-siap-huni-hos40033123/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1399923/4297cf0cc154da56ddea93ca1e0094cd.jpg","rumah123"
"10","2025-11-20 08:45:52.905686+00","2000000000","Kota Wisata, Bogor","3","2","1.0","72.00","89.00","https://www.rumah123.com/properti/bogor-kota-wisata/cluster-baru-kota-wisata-termurah-hanya-2-m-lokasi-strategis-hos40523269/","https://picture.rumah123.com/r123-images/720x420-crop/customer/2026542/b1cbc180a5720b48bbcdae5929fa8949.jpg","rumah123"
"11","2025-11-20 08:45:52.905686+00","590000000","Cibinong, Bogor","2","1",,"84.00","70.00","https://www.rumah123.com/properti/bogor-cibinong/rumah-minimalis-modern-15-menit-ke-terminal-cibinong-siap-kpr-j37040-hos40049748/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1644397/39a27bb2aba2aed29438bb0a777dec41.jpg","rumah123"
"12","2025-11-20 08:45:52.905686+00","570000000","Cibinong, Bogor","3","2",,"60.00","60.00","https://www.rumah123.com/properti/bogor-cibinong/rumah-sudah-renov-shm-15-menit-ke-cibinong-city-mall-siap-huni-j29015-hos40176969/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1945041/a072bdb44bae7dce3568c064b75df028.jpg","rumah123"
"13","2025-11-20 08:45:52.905686+00","760000000","Cibinong, Bogor","3","2",,"60.00","90.00","https://www.rumah123.com/properti/bogor-cibinong/rumah-15-menit-ke-stasiun-cilebut-shm-siap-huni-2-lt-j32994-hos39351207/","https://picture.rumah123.com/r123-images/720x420-crop/customer/1532436/0ed0e03b352ee8e940f6f154503c91a9.jpg","rumah123"
