price,location,bedrooms,toilet,garage,LT,LB
2890000000,"Mekar Wangi, Bandung",3,2,1,180.0,180.0
7500000000,"Golf Island, Jakarta Utara",3,3,2,200.0,320.0
2600000000,"Muara Karang, Jakarta Utara",3,3,1,3.5,200.0
9000000000,"Pluit, Jakarta Utara",3,3,2,10.0,10.0
3500000000,"Jelambar, Jakarta Barat",5,6,1,3.5,178.0
2900000000,"Daan Mogot, Jakarta Barat",4,3,2,N/A,N/A
18500000000,"Radio Dalam, Jakarta Selatan",N/A,N/A,N/A,748.0,748.0
14000000000,"Cengkareng Barat, Jakarta Barat",3,3,2,135.0,337.0
1800000000,"Cijantung, Jakarta Timur",3,2,2,0.6,0.6
2200000000,"Batununggal, Bandung",3,2,1,183.0,93.0
6900000000,"Tamansari, Jakarta Barat",7,4,1,203.0,408.0
1600000000,"Graha Raya, Tangerang",3,2,N/A,72.0,108.0
1300000000,"Kota Wisata, Jakarta Timur",2,2,1,60.0,54.0
2600000000,"Buah Batu, Bandung",4,3,2,200.0,230.0
2450000000,"Singgasana, Bandung",3,2,N/A,128.0,123.0
893000000,"Taman Kopo Indah, Bandung",2,1,1,71.0,50.0
2100000000,"Pasteur, Bandung",4,3,2,84.0,92.0
2000000000,"Dago, Bandung",3,2,1,112.0,138.0
2300000000,"Setra Duta, Bandung",3,2,N/A,N/A,N/A
16500000000,"Sumurbandung, Bandung",8,3,N/A,553.0,732.0
