price,location,bedrooms,toilet,garage,LT,LB
3600000000,"Puri Media, Jakarta Barat",5,3,3,135.0,195.0
1900000000,"Cempaka Putih, Jakarta Pusat",3,3,1,62.0,84.0
3100000000,"Green Lake City, Jakarta Barat",3,2,2,108.0,N/A
8900000000,"Tebet, Jakarta Selatan",4,4,1,241.0,250.0
1600000000,"Metland Puri, Jakarta Barat",2,2,1,55.0,63.0
14500000000,"Kemang, Jakarta Selatan",3,3,7,696.0,325.0
21000000000,"Kebayoran Baru, Jakarta Selatan",2,1,4,200.0,90.0
49000000000,"Mega Kuningan, Jakarta Selatan",4,4,5,540.0,1100.0
45000000000,"Pondok Indah, Jakarta Selatan",5,5,6,627.0,1050.0
20000000000,"Setiabudi, Jakarta Selatan",5,4,4,560.0,560.0
19000000000,"Cipete, Jakarta Selatan",4,3,4,522.0,500.0
4900000000,"Ampera, Jakarta Selatan",3,3,2,124.0,250.0
5000000000,"Lebak Bulus, Jakarta Selatan",4,4,2,187.0,250.0
1300000000,"Cinere, Depok",3,2,1,60.0,60.0
3400000000,"Cilandak, Jakarta Selatan",3,2,2,118.0,149.0
16500000000,"Kuningan, Jakarta Selatan",4,3,4,603.0,400.0
1300000000,"Tangerang, Tangerang",3,2,2,141.0,78.0
1500000000,"Lippo Karawaci, Tangerang",3,2,1,50.0,64.0
84000000000,"Menteng, Jakarta Pusat",3,2,12,1050.0,1050.0
4200000000,"Duren Sawit, Jakarta Timur",4,3,2,145.0,260.0
