price,location,bedrooms,toilet,garage,LT,LB
750000000,"Kramat Jati, Jakarta Timur",2.0,1.0,1.0,1.0,1.0
2500000000,"Pondok Bambu, Jakarta Timur",4.0,3.0,,120.0,120.0
1780000000,"Duri Kosambi, Jakarta Barat",3.0,2.0,2.0,90.0,
2250000000,"Malang Kota, Malang",18.0,17.0,4.0,254.0,282.0
800000000,"Menganti, Gresik",2.0,1.0,1.0,90.0,120.0
1750000000,"Mulyosari, Surabaya",4.0,3.0,2.0,108.0,160.0
3800000000,"Mulyorejo, Surabaya",3.0,5.0,,157.0,250.0
1900000000,"Sektor 1D-Gading Serpong, Tangerang",3.0,3.0,2.0,2.0,140.0
900000000,"Poris, Tangerang",3.0,3.0,1.0,53.0,100.0
1890000000,"Summarecon Tangerang, Tangerang",2.0,2.0,,1.0,60.0
361000000,"Wates, Kulon Progo",2.0,1.0,,127.0,50.0
166000000,"Kaliwates, Jember",2.0,1.0,,66.0,27.0
1200000000,"Ubung, Denpasar",2.0,1.0,1.0,114.0,60.0
1800000000,"Teluk Naga, Tangerang",3.0,3.0,,2.0,2.0
482000000,"Temon, Kulon Progo",3.0,1.0,,128.0,65.0
495000000,"Cibaduyut, Bandung",2.0,1.0,1.0,60.0,50.0
1600000000,"Ciangsana, Bogor",4.0,3.0,1.0,100.0,185.0
2100000000,"Pondok Ranji, Tangerang Selatan",5.0,4.0,2.0,290.0,400.0
4400000000,"Manyar, Surabaya",3.0,2.0,1.0,16.0,240.0
65000000000,"Lakarsantri, Surabaya",9.0,11.0,3.0,1975.0,2375.0
2890000000,"Mekar Wangi, Bandung",3.0,2.0,1.0,180.0,180.0
7500000000,"Golf Island, Jakarta Utara",3.0,3.0,2.0,200.0,320.0
2600000000,"Muara Karang, Jakarta Utara",3.0,3.0,1.0,3.5,200.0
9000000000,"Pluit, Jakarta Utara",3.0,3.0,2.0,10.0,10.0
3500000000,"Jelambar, Jakarta Barat",5.0,6.0,1.0,3.5,178.0
2900000000,"Daan Mogot, Jakarta Barat",4.0,3.0,2.0,,
18500000000,"Radio Dalam, Jakarta Selatan",,,,748.0,748.0
14000000000,"Cengkareng Barat, Jakarta Barat",3.0,3.0,2.0,135.0,337.0
1800000000,"Cijantung, Jakarta Timur",3.0,2.0,2.0,0.6,0.6
2200000000,"Batununggal, Bandung",3.0,2.0,1.0,183.0,93.0
6900000000,"Tamansari, Jakarta Barat",7.0,4.0,1.0,203.0,408.0
1600000000,"Graha Raya, Tangerang",3.0,2.0,,72.0,108.0
1300000000,"Kota Wisata, Jakarta Timur",2.0,2.0,1.0,60.0,54.0
2600000000,"Buah Batu, Bandung",4.0,3.0,2.0,200.0,230.0
2450000000,"Singgasana, Bandung",3.0,2.0,,128.0,123.0
893000000,"Taman Kopo Indah, Bandung",2.0,1.0,1.0,71.0,50.0
2100000000,"Pasteur, Bandung",4.0,3.0,2.0,84.0,92.0
2000000000,"Dago, Bandung",3.0,2.0,1.0,112.0,138.0
2300000000,"Setra Duta, Bandung",3.0,2.0,,,
16500000000,"Sumurbandung, Bandung",8.0,3.0,,553.0,732.0
